Status,Sharpe,Fitness,Returns(%),Drawdown(%),Margin(bps),Turnover(%),Universe,Delay,Decay,Neutralization,FailedChecks,Code,,
SUCCESS,1.0752,1.4670,18.5625,-4.3327,30.6882,74.0357,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 5))",FailedChecks,Code
SUCCESS,0.6586,1.7723,18.4934,-20.7971,28.5242,73.1543,TOP1000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 10))",,
SUCCESS,1.1427,0.7742,32.3315,-14.5394,31.6176,35.5992,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 15))",,
FAILED,,,,,,,TOP1000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(fcf_yield_times_forward_roe, 20)), industry), 30))",,
SUCCESS,1.4877,1.0061,14.3965,-8.6119,26.3821,67.0985,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), industry), 30))",,
SUCCESS,0.8976,0.7053,-2.8401,-2.6595,33.4038,72.0772,TOP3000,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 15))",,
FAILED,,,,,,,TOP200,1,8,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_earningsqualityfactor_wcacc, 10)), sector), 5))",,
FAILED,,,,,,,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_delta(fcf_yield_times_forward_roe, 10)), sector), 10))",,
SUCCESS,1.2985,2.1111,9.7443,-5.1942,28.6361,57.7683,TOP3000,1,2,NONE,,"normalize(ts_decay_linear(group_neutralize(zscore(mdl177_2_deepvaluefactor_ebitdaev), industry), 15))",,
SUCCESS,1.7183,1.2528,1.4954,-24.1931,16.6201,38.4034,TOP200,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(earnings_revision_magnitude, 20)), industry), 10))",,
SUCCESS,0.7716,1.3141,16.4680,-26.9666,21.9628,14.8231,TOP200,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 20)), industry), 15))",,
SUCCESS,0.2000,0.0800,2.0900,15.2500,9.7400,4.2900,TOP200,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(earnings_revision_magnitude, 20)), industry), 10))",,
SUCCESS,-0.1200,-0.0200,-0.4100,7.6000,-0.4000,20.4000,TOP1000,1,4,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_delta(mdl177_2_earningsqualityfactor_wcacc, 10)), subindustry), 10))",,
SUCCESS,-0.6400,-0.5000,-8.1400,46.3500,-12.1200,13.4400,TOP200,1,2,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(zscore((implied_volatility_call_270 - implied_volatility_put_270)), subindustry), 5))",,
SUCCESS,-0.1500,-0.0700,-2.8500,51.9300,-30.9700,1.8400,TOP200,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_deepvaluefactor_ebitdaev, 10)), industry), 30))",,
SUCCESS,-0.0600,-0.0100,-0.2100,10.6700,-0.2100,20.0100,TOP3000,1,8,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_delta(mdl177_2_earningsqualityfactor_wcacc, 3)), subindustry), 15))",,
SUCCESS,0.0400,0.0100,0.3600,20.8200,1.8800,3.7800,TOP1000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(earnings_revision_magnitude, 20)), industry), 10))",,
SUCCESS,0.4200,0.2000,2.8000,15.2600,15.8200,3.5400,TOP3000,1,0,NONE,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_mean(earnings_revision_magnitude, 20)), industry), 10))",,
SUCCESS,0.2200,0.0600,0.8700,12.7500,5.2100,3.3600,TOP1000,1,0,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(ts_mean(mdl177_2_earningsqualityfactor_wcacc, 5)), subindustry), 30))",,
